Date Of Sleep,Local Time Offset,Sleep Score,BedTime,Sleep Start Time,Wake Up Time,Get Up Time,Total In Bed Duration (hrs),Total Sleep Duration (hrs)
06/05/2021,-4,86.29033572,2021-05-06T02:41:01.000Z,2021-05-06T02:41:01.000Z,2021-05-06T10:13:01.000Z,2021-05-06T10:31:01.000Z,7.833,7.139
07/05/2021,-4,83.25945728,2021-05-07T02:21:35.000Z,2021-05-07T02:31:05.000Z,2021-05-07T09:19:05.000Z,2021-05-07T09:26:05.000Z,7.083,6.583
08/05/2021,-4,90.05930132,2021-05-08T00:57:03.000Z,2021-05-08T00:57:03.000Z,2021-05-08T09:48:33.000Z,2021-05-08T09:50:03.000Z,8.889,8.250
09/05/2021,-4,76.15773505,2021-05-09T00:50:58.000Z,2021-05-09T00:56:28.000Z,2021-05-09T10:05:28.000Z,2021-05-09T10:27:58.000Z,9.611,7.583
10/05/2021,-4,83.56235991,2021-05-10T01:46:34.000Z,2021-05-10T02:04:04.000Z,2021-05-10T10:27:04.000Z,2021-05-10T10:28:34.000Z,8.694,7.667
11/05/2021,-4,90.79007937,2021-05-11T02:08:23.000Z,2021-05-11T02:09:53.000Z,2021-05-11T09:46:23.000Z,2021-05-11T09:55:53.000Z,7.806,7.472
12/05/2021,-4,83.57836759,2021-05-12T01:59:44.000Z,2021-05-12T02:16:44.000Z,2021-05-12T09:18:44.000Z,2021-05-12T09:28:14.000Z,7.472,6.750
13/05/2021,-4,74.77743449,2021-05-13T01:41:04.000Z,2021-05-13T02:40:04.000Z,2021-05-13T09:59:34.000Z,2021-05-13T10:16:34.000Z,8.583,6.833
14/05/2021,-4,90.13888889,2021-05-14T02:07:04.000Z,2021-05-14T02:10:04.000Z,2021-05-14T10:09:04.000Z,2021-05-14T10:13:34.000Z,8.111,7.667
15/05/2021,-4,85.56005913,2021-05-15T02:26:46.000Z,2021-05-15T02:34:46.000Z,2021-05-15T09:32:16.000Z,2021-05-15T09:35:16.000Z,7.139,6.722
16/05/2021,-4,85.0218254,2021-05-16T02:45:35.000Z,2021-05-16T02:50:05.000Z,2021-05-16T09:51:05.000Z,2021-05-16T10:01:05.000Z,7.250,6.833
17/05/2021,-4,91.81242293,2021-05-17T00:57:23.000Z,2021-05-17T01:21:23.000Z,2021-05-17T10:01:53.000Z,2021-05-17T10:17:23.000Z,9.333,8.278
18/05/2021,-4,89.30935338,2021-05-18T02:07:28.000Z,2021-05-18T02:12:58.000Z,2021-05-18T09:58:58.000Z,2021-05-18T10:15:28.000Z,8.139,7.472
19/05/2021,-4,74.63170696,2021-05-19T02:18:48.000Z,2021-05-19T02:26:48.000Z,2021-05-19T09:55:48.000Z,2021-05-19T09:57:48.000Z,7.639,6.528
20/05/2021,-4,88.65357143,2021-05-20T02:02:24.000Z,2021-05-20T02:08:54.000Z,2021-05-20T09:27:54.000Z,2021-05-20T09:28:24.000Z,7.444,7.139
21/05/2021,-4,88.74285714,2021-05-21T02:02:16.000Z,2021-05-21T02:09:46.000Z,2021-05-21T09:35:16.000Z,2021-05-21T09:36:46.000Z,7.583,7.222
22/05/2021,-4,81.93013728,2021-05-22T02:06:26.000Z,2021-05-22T02:25:56.000Z,2021-05-22T10:44:26.000Z,2021-05-22T10:45:56.000Z,8.667,7.472
23/05/2021,-4,92.95242764,2021-05-23T01:54:03.000Z,2021-05-23T02:10:33.000Z,2021-05-23T10:58:03.000Z,2021-05-23T11:09:03.000Z,9.250,8.389
24/05/2021,-4,87.13456935,2021-05-24T00:59:02.000Z,2021-05-24T01:04:32.000Z,2021-05-24T09:50:32.000Z,2021-05-24T09:50:32.000Z,8.861,8.028
25/05/2021,-4,60.47323655,2021-05-25T03:36:46.000Z,2021-05-25T04:41:16.000Z,2021-05-25T10:27:46.000Z,2021-05-25T10:49:46.000Z,7.222,5.472
26/05/2021,-4,74.11587302,2021-05-26T03:08:48.000Z,2021-05-26T03:08:48.000Z,2021-05-26T08:54:48.000Z,2021-05-26T09:04:48.000Z,5.944,5.611
27/05/2021,-4,85.64661812,2021-05-27T02:06:45.000Z,2021-05-27T02:12:15.000Z,2021-05-27T09:34:15.000Z,2021-05-27T09:56:45.000Z,7.833,6.917
28/05/2021,-4,91.54212734,2021-05-28T01:57:45.000Z,2021-05-28T02:04:15.000Z,2021-05-28T10:08:45.000Z,2021-05-28T10:24:45.000Z,8.444,7.750
29/05/2021,-4,93.76269841,2021-05-29T02:12:49.000Z,2021-05-29T02:16:19.000Z,2021-05-29T10:45:49.000Z,2021-05-29T10:46:49.000Z,8.556,8.250
30/05/2021,-4,90.1162424,2021-05-30T03:31:38.000Z,2021-05-30T03:35:08.000Z,2021-05-30T12:12:08.000Z,2021-05-30T12:22:38.000Z,8.861,8.194
31/05/2021,-4,87.73412698,2021-05-31T02:47:59.000Z,2021-05-31T02:47:59.000Z,2021-05-31T10:35:59.000Z,2021-05-31T10:37:59.000Z,7.833,7.472
